URL;"Image URL";Price;Title;Description;Characteristics
https://4lapy.ru/product/ferplast-oshejnik-dlya-sobak-daytona-55-63-sm-40-mm-krasnyj-17722-1038298/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_62376.jpg&w=3840&q=70;1627;"Ferplast  Ошейник для собак Daytona, обхват шеи 55-63 см, ширина 4 см, красный";"Очень удобный для шеи Вашего четвероногого друга, благодаря мягкой подкладке, нейлоновый ошейник Daytona имеет четыре отверстия для регулировки длины и металлическую застежку. Благодаря внутренней подкладке, он очень мягок для шеи Вашего животного. Линия ошейников Daytona доступна в 7 размерах и следующих цветах: черный, красный, синий и новый коричневый. Выбирая ошейники, Вы также можете найти полную линейку нейлоновых поводков и шлеек для любых собак.    Размер: А 55-63 см; B: 40 мм";"{""Артикул"":""1038298"",""Бренды"":""Ferplast"",""Страна-производитель"":""Италия"",""Для кого"":""Собаки"",""Назначение"":""Ошейники"",""Размер питомца"":""Крупный"",""Материал изготовления"":""Нейлон"",""Базовый цвет"":""КРАСНЫЙ""}"
https://4lapy.ru/product/rungo-oshejnik-iz-biotana-s-fasteksom-25mm-obhvat-shei-37-55sm-matovyj-olivkovyj-18656-1055240/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2F367116.jpeg&w=3840&q=70;649;"Rungo  Ошейник из биотана для собак, обхват шеи 37-55 см, ширина 2,5 см, оливковый";"Ошейники из биотана (высокотехнологичного материала, изготовленного из нейлона и термопластичного полиуретана. Биотан имеет ряд преимуществ по сравнению с традиционными материалами, использующимися для изготовления амуниции для собак: Преимущества:";"{""Артикул"":""1055240"",""Бренды"":""Rungo"",""Страна-производитель"":""Россия"",""Для кого"":""Собаки"",""Назначение"":""Ошейники"",""Размер питомца"":""Мелкий"",""Материал изготовления"":""Биотан"",""Размер"":""37-55х2,5 см"",""Базовый цвет"":""ЗЕЛЕНЫЙ""}"
https://4lapy.ru/product/ferplast-oshejnik-dlya-sobak-srednih-porod-daytona-arancio-collare-45-53-sm-25-mm-oranzhevyj-17508-1022043/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_21475.jpg&w=3840&q=70;1049;"Ferplast  Ошейник для собак Daytona Arancio Collare, обхват шеи 45-53 см, ширина 2,5 см, оранжевый";;"{""Артикул"":""1022043"",""Бренды"":""Ferplast"",""Страна-производитель"":""Италия"",""Для кого"":""Собаки"",""Назначение"":""Ошейники"",""Размер питомца"":""Средний"",""Материал изготовления"":""Нейлон"",""Базовый цвет"":""ОРАНЖЕВЫЙ""}"
https://4lapy.ru/product/rurri-shnurok-dlya-adresnika-svetootrazhayushchij-iz-parashyutnogo-parakorda-razmer25-45-sm-v-tsvete-20033-1054650/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_113709.jpg&w=3840&q=70;279;"RURRI  Шнурок для адресника светоотражающий из парашютного паракорда для кошек и собак, обхват шеи 25-45 см, в цвете";"Внимание! Адресник не входит в комплект! Шнурок для адресника от Rurri изготовлен из качественного прочного паракорда и подходит для собак средних и крупных пород. Преимущества:";"{""Артикул"":""1054650"",""Бренды"":""RURRI"",""Страна-производитель"":""Россия"",""Для кого"":""Кошки и собаки"",""Назначение"":""Шнурки для адресников"",""Размер питомца"":""Мелкий и средний"",""Материал изготовления"":""Нейлон"",""Размер"":""25-45 см"",""Базовый цвет"":""РАЗНОЦВЕТНЫЙ"",""Обхват шеи"":""45.0""}"
https://4lapy.ru/product/arkon-oshejnik-dlya-sobak-melkih-porod-fetr-chernyj-krasnyj-26-30h1-6-sm-15800-1015426/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Foffr16f569f7a86fbe57ed288b702c0c44db.jpg&w=3840&q=70;219;"Аркон  Ошейник для собак Фетр, обхват шеи 20-28 см, ширина 1,6 см, черно-красный";;"{""Артикул"":""1015426"",""Бренды"":""Аркон"",""Страна-производитель"":""Россия"",""Для кого"":""Собаки"",""Назначение"":""Ошейники"",""Размер питомца"":""Мелкий"",""Материал изготовления"":""Кожа"",""Базовый цвет"":""КРАСНЫЙ""}"
https://4lapy.ru/product/petmax-oshejnik-dlya-koshek-nejlon-s-adresnikom-10mm-30sm-raduzhnyj-13143-1057031/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2F317503.jpeg&w=3840&q=70;277;"Petmax  Ошейник нейлоновый со светоотражающим адресником для кошек и собак мелких пород, 1х30 см, радужный";"Ошейник для кошек с колокольчиком и адресником от бренда Petmax – это надежный аксессуар для безопасности вашего питомца.  Размеры: максимальная длина 30 см, ширина 1 см. Преимущества:";"{""Артикул"":""1057031"",""Бренды"":""Petmax"",""Страна-производитель"":""Китай"",""Для кого"":""Кошки"",""Назначение"":""Ошейники"",""Размер питомца"":""Все размеры"",""Материал изготовления"":""Нейлон"",""Размер"":""30 см"",""Базовый цвет"":""КРАСНЫЙ""}"
https://4lapy.ru/product/kaskad-oshejnik-s-shipami-kozhanyj-dvojnoj-shirina-35mm-obhvat-shei-50-59-16135-1038225/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_62304.jpg&w=3840&q=70;999;"Каскад  Ошейник для собак, обхват шеи 50-59 см, ширина 3,5 см, черный";"Ошейник с шипами кожаный двойной ширина 35 мм, обхват шеи 50-59 см.";"{""Артикул"":""1038225"",""Бренды"":""Каскад"",""Страна-производитель"":""Россия"",""Для кого"":""Собаки"",""Назначение"":""Ошейники"",""Размер питомца"":""Средний и крупный"",""Материал изготовления"":""Кожа"",""Базовый цвет"":""ЧЕРНЫЙ""}"
https://4lapy.ru/product/v-i-pet-v-i-pet-pro-oshejnik-dlya-sobak-krupnyh-porod-strogij-75h3-8-sm-16737-1032125/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_51183.jpg&w=3840&q=70;2737;"Zoo One  Ошейник для собак строгий, обхват шеи 73-75 см, ширина 3,8 см, серебряный";"Профессиональный. Предназначен для воспитания и подчинения собаки, а также сдерживания рвущихся собак средних и крупных пород.";"{""Артикул"":""1032125"",""Бренды"":""Zoo One"",""Страна-производитель"":""Россия"",""Для кого"":""Собаки"",""Назначение"":""Амуниция Строгачи"",""Размер питомца"":""Крупный"",""Материал изготовления"":""Нержавеющая сталь"",""Базовый цвет"":""СЕРЫЙ""}"
https://4lapy.ru/product/rungo-oshejnik-s-neoprenom-25mm-55sm-goluboj-18669-1056907/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2F319308.jpeg&w=3840&q=70;865;"Rungo  Ошейник из биотана с неопреном для собак, 2,5х55 см, голубой";"Ошейник для собак от бренда Rungo – стильный, прочный и износостойкий аксессуар для комфортных прогулок.  Размеры: длина 55 см, ширина 25 мм.  Преимущества:";"{""Артикул"":""1056907"",""Бренды"":""Rungo"",""Страна-производитель"":""Китай"",""Для кого"":""Собаки"",""Назначение"":""Ошейники"",""Размер питомца"":""Все размеры"",""Материал изготовления"":""Биотан"",""Базовый цвет"":""ГОЛУБОЙ""}"
https://4lapy.ru/product/ferplast-domik-derevyannyj-nido-dlya-ptits-medium-190h140h140-mm-14957-1000499/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_9762.jpg&w=3840&q=70;675;"Ferplast  Домик деревянный Нидо для птиц, медиум, 190х140х140 мм";"Домик-гнездо для птиц из дерева. Идеальный аксессуар для всех птичьих клеткок. 5 специальных размеров для канареек, экзотических птиц, волнистых попугаев и корелл. Изготовлен из сертифицированной FSC™ древесины. Преимущества: Размеры: 190х140х140 мм.";"{""Артикул"":""1000499"",""Бренды"":""Ferplast"",""Страна-производитель"":""Италия"",""Для кого"":""Птицы"",""Назначение"":""Дом деревянный"",""Размер питомца"":""Все размеры"",""Материал изготовления"":""Дерево""}"
https://4lapy.ru/product/ferplast-domik-derevyannyj-nido-dlya-ptits-smajl-130h120h170-mm-14959-1000501/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_9766.jpg&w=3840&q=70;539;"Ferplast  Домик деревянный Нидо для птиц, смайл, 130х120х170 мм";"Домик-гнездо для птиц из дерева Идеальный аксессуар для всех птичьих клеток 5 специальных размеров для канареек, экзотических птиц, волнистых попугаев и корелл Изготовлен из сертифицированной FSC™ древесины Преимущества: Размеры: 130х120х170 мм.";"{""Артикул"":""1000501"",""Бренды"":""Ferplast"",""Страна-производитель"":""Италия"",""Для кого"":""Птицы"",""Назначение"":""Дом деревянный"",""Размер питомца"":""Все размеры"",""Материал изготовления"":""Дерево""}"
https://4lapy.ru/product/ferplast-domik-derevyannyj-nido-dlya-ptits-mini-11-5x12-5x12-sm-14958-1000500/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_9764.jpg&w=3840&q=70;415;"Ferplast  Домик деревянный Нидо для птиц, мини, 11,5x12,5x12 см";"Домик-гнездо для птиц из дерева. Идеальный аксессуар для всех птичьих клеток 5 специальных размеров для канареек, экзотических птиц, волнистых попугаев и корелл. Изготовлен из сертифицированной FSC™ древесины Преимущества: Размер: 11,5x12,5x12 см";"{""Артикул"":""1000500"",""Бренды"":""Ferplast"",""Страна-производитель"":""Италия"",""Для кого"":""Птицы"",""Назначение"":""Дом деревянный"",""Размер питомца"":""Все размеры"",""Материал изготовления"":""Дерево""}"
https://4lapy.ru/product/ferplast-domik-gnezdo-nido-extra-large-dlya-ptits-naruzhnyj-14960-1024913/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_35774.jpg&w=3840&q=70;2069;"Ferplast  Домик-гнездо NIDO Extra Large для птиц наружный";"Дает возможность птицам уютно гнездиться в спокойствии. Наши домики могут крепится к любой из клеток Ferplast. Домики снабжены металическими крючками для присоединения к среде обитания ваших птиц, оснащены съемной крышкой, позволяющей быстро чистить и ухаживать за ними. Доступны в пяти размерах и имеют специальное входное отверствие обеспечивающее легкий доступ вашим крылатым. В зависимости от модели диаметр входного отверстия гнезда составляет от 4 до 8 см. Для канареек и экзотических птицы, например, больше подходит Nido Mini, Small и Medium, а модели Large и Extra Large лучше всего подходят для волнистых попугайчиков и кореллы.  Все гнезда изготовлены из древесины , сертифицированной по схеме FSC™ и добываемой только в лесах, легально и ответственно управляемых лесозаготовительными предприятиями, в соответствии со строгими экологическими, социальными и экономическими стандартами, а также в других контролируемых местах происхождения лесоматериала.";"{""Артикул"":""1024913"",""Бренды"":""Ferplast"",""Страна-производитель"":""Италия"",""Для кого"":""Птицы"",""Назначение"":""Дом деревянный"",""Размер питомца"":""Средний и крупный"",""Материал изготовления"":""Дерево""}"
https://4lapy.ru/product/ferplast-domik-derevyannyj-nido-dlya-ptits-lardzh-250h170h170-mm-14956-1000498/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_9760.jpg&w=3840&q=70;945;"Ferplast  Домик деревянный Нидо для птиц, лардж, 250х170х170 мм";;"{""Артикул"":""1000498"",""Бренды"":""Ferplast"",""Страна-производитель"":""Россия"",""Для кого"":""Птицы"",""Назначение"":""Дом деревянный"",""Размер питомца"":""Все размеры"",""Материал изготовления"":""Дерево""}"
https://4lapy.ru/product/petmax-skvorechnik-dlya-ptits-14963-1051839/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_102150.jpg&w=3840&q=70;565;"Petmax  Скворечник для птиц";"Petmax Скворечник для уличных птиц сборный.  Размер: 17,5х16х21,5 см";"{""Артикул"":""1051839"",""Бренды"":""Petmax"",""Страна-производитель"":""Россия"",""Для кого"":""Птицы"",""Назначение"":""Скворечник"",""Размер питомца"":""Мелкий"",""Материал изготовления"":""Дерево""}"
https://4lapy.ru/product/ferplast-domik-skvorechnik-derevyannyj-dlya-ptits-natura-fun1-13-2x17-2x13-8-sm-14962-1031998/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_51036.jpg&w=3840&q=70;1357;"Ferplast  Домик-скворечник деревянный для птиц Natura Fun1, 13,2x17,2x13,8 см";"Вы хотите проявить заботу о птицах, обитающих в естественной среде, помочь им с едой и кровом, вовлекая в этот процесс ваших детей?! Для этого создана веселая разноцветная линия домиков-гнезд от Ferplast! Домики-гнезда сделаны из древесины марки TREE FRIEND, означающей, что дерево было срублено на участках с разрешения и под управлением организаций, осуществляющих контроль над сохранением мировых лесов и предотвращению их вырубки на нашей планете. При окраске использовалась абсолютно не токсичная краска. Домики сделаны в оригинальных забавных формах, имеют внутреннее пространство для выведения потомства. Отлично подходят для улицы и оборудованы специальным металлическим крючком для крепления их к деревьям в вашем саду. Просто представьте их среди листьев - благодаря ярким цветам, нет сомнений в том, что они будут создавать очаровательный эффект.   Nest Fun 1 имеет маленькое отверстие в верхней части и форму в виде сердца. Этот домик поставляется в комплекте с адаптером, позволяющим подобрать идеальное входное отверстие: стандартное отверстие диаметром 32 мм, в комплекте адаптер диаметром 28мм. Вход подбирается в соответствии с видом птиц, о которых вы собираетесь позаботиться.";"{""Артикул"":""1031998"",""Бренды"":""Ferplast"",""Страна-производитель"":""Италия"",""Для кого"":""Птицы"",""Назначение"":""Скворечник"",""Размер питомца"":""Мелкий"",""Материал изготовления"":""Дерево""}"
https://4lapy.ru/product/ferplast-domik-skvorechnik-derevyannyj-dlya-ptits-natura-n2-19-7x17x27-sm-14961-1031997/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_51035.jpg&w=3840&q=70;1345;"Ferplast  Домик-скворечник деревянный для птиц Natura N2, 19,7x17x27 см";"Если вы хотите проявить заботу о птицах, обитающих в естественной среде, и помочь им с едой и кровом, вы нашли правильный продукт! Домики-гнезда от Ferplast имеют внутреннее пространство для выведения потомства. Отлично подходят для улицы и оборудованы специальным металлическим крючком для крепления их к деревьям в вашем саду. Nest 2 имеет маленькое отверствие наверху и скошенную крышу.    Все продукты этой серии сделаны из древесины марки TREE FRIEND, означающей, что дерево было срублено на участках с разрешения и под управлением организаций, осуществляющих контроль над сохранением мировых лесов и предотвращению их вырубки на нашей планете.";"{""Артикул"":""1031997"",""Бренды"":""Ferplast"",""Страна-производитель"":""Италия"",""Для кого"":""Птицы"",""Назначение"":""Скворечник"",""Размер питомца"":""Мелкий"",""Материал изготовления"":""Дерево""}"
https://4lapy.ru/product/darell-nabor-dlya-sborki-skvorechnika-svoimi-rukami-tirol-srednij-sdvuskatnoj-kryshej-massiv-dereva-21h21h41-sm-14966-1032476/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_51636.jpg&w=3840&q=70;925;"Дарэлл  Набор для сборки скворечника Своими руками, Тироль, средний, сдвускатной крышей, массив дерева 21х21х41 см";"Деревянный скворечник для самостоятельной сборки, с двускатной крышей, средних размеров. Предназначен для птиц.";"{""Артикул"":""1032476"",""Бренды"":""Дарэлл"",""Страна-производитель"":""Россия"",""Для кого"":""Птицы"",""Назначение"":""Скворечник"",""Размер питомца"":""Мелкий"",""Материал изготовления"":""Дерево""}"
https://4lapy.ru/product/trixie-palatka-dlya-ptits-19h20h17-cm-14964-1028909/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_45436.jpg&w=3840&q=70;865;"Trixie  Палатка для птиц, 19х20х17 cм";"Деревянная палатка для птиц с тканевым чехлом и съемной ставкой. Имеет специальное удобное крепление для размещения в клетке.";"{""Артикул"":""1028909"",""Бренды"":""Trixie"",""Страна-производитель"":""Китай"",""Для кого"":""Птицы"",""Назначение"":""Домики и укрытия"",""Размер питомца"":""Все размеры"",""Материал изготовления"":""Дерево""}"
https://4lapy.ru/product/ferplast-domik-derevyannyj-dlya-ptits-natura-n3-21-3x21x16-6-sm-42721-1031996/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_51034.jpg&w=3840&q=70;1219;"Ferplast  Домик деревянный для птиц Natura N3, 21,3x21x16,6 см";"Если вы хотите проявить заботу о птицах, обитающих в естественной среде, и помочь им с едой и кровом, вы нашли правильный продукт! Домики-гнезда от Ferplast имеют внутреннее пространство для выведения потомства. Отлично подходят для улицы и оборудованы специальным металлическим крючком для крепления их к деревьям в вашем саду. Nest 3 сделан в форме домика со скошенной крышей и маленьким входным отверстием.   Домик поставляется с разными адаптерами, которыми вы можете отрегулировать размер входного отверстия: стандартное отверстие диаметром 39 мм, в комплекте два адаптера диаметром 28 мм и 32 мм. Вход подбирается в соответствии с видом птиц, о которых вы собираетесь позаботиться.   Все продукты этой серии сделаны из древесины марки TREE FRIEND, означающей, что дерево было срублено на участках с разрешения и под управлением организаций, осуществляющих контроль над сохранением мировых лесов и предотвращению их вырубки на нашей планете.";"{""Артикул"":""1031996"",""Бренды"":""Ferplast"",""Страна-производитель"":""Италия"",""Для кого"":""Птицы"",""Назначение"":""Скворечник"",""Размер питомца"":""Мелкий"",""Материал изготовления"":""Дерево""}"
https://4lapy.ru/product/ferplast-domik-skvorechnik-derevyannyj-dlya-ptits-natura-fun2-15-2x15-8x13-8-sm-42722-1031999/;https://4lapy.ru/_next/image/?url=https%3A%2F%2Fstorage.yandexcloud.net%2Fpim-core%2Fdbpim-prod_51037.jpg&w=3840&q=70;1357;"Ferplast  Домик-скворечник деревянный для птиц Natura Fun2, 15,2x15,8x13,8 см";;"{""Артикул"":""1031999"",""Бренды"":""Ferplast"",""Страна-производитель"":""Италия"",""Для кого"":""Птицы"",""Назначение"":""Скворечник"",""Размер питомца"":""Мелкий"",""Материал изготовления"":""Дерево""}"
